"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Title","SibSpGroups","ParchGroups","FamSize","FamSizeGroups","ticketnumber","ticket_id","TicketGroups","fare_outlier","FareGroups","Miss_Cabin","Deck","DeckGroups","Miss_Age","MiceAge","AgeGroups","Child","Mother","singleFemale"
304,1,2,"female",NA,0,0,"226593",12.35,"E101","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Known","E","BDE","age_missing",39,"Adult","Adult","Not Mother",1
305,0,3,"male",NA,0,0,"A/5 2466",8.05,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",2,"Missing","M","Missing","age_missing",26,"Adult","Adult","Not Mother",0
306,1,1,"male",0.92,1,2,"113781",151.55,"C22 C26","S","Master","1&2","1-3",4,"4","Number","Number","Medium","yes",4,"Known","C","CF","age_known",0.92,"Child","Child","Not Mother",0
307,1,1,"female",NA,0,0,"17421",110.8833,"Missing","C","Miss","0","0",1,"1&7","Number","Number","Medium","yes",4,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",1
308,1,1,"female",17,1,0,"PC 17758",108.9,"C65","C","Mrs","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Known","C","CF","age_known",17,"Child","Child","Not Mother",0
309,0,2,"male",30,1,0,"P/PP 3381",24,"Missing","C","Mr","1&2","0",2,"2&3","P","Letter","High","no",3,"Missing","M","Missing","age_known",30,"Adult","Adult","Not Mother",0
310,1,1,"female",30,0,0,"PC 17485",56.9292,"E36","C","Miss","0","0",1,"1&7","PC","Letter","High","no",4,"Known","E","BDE","age_known",30,"Adult","Adult","Not Mother",1
311,1,1,"female",24,0,0,"11767",83.1583,"C54","C","Miss","0","0",1,"1&7","Number","Number","Medium","yes",4,"Known","C","CF","age_known",24,"Adult","Adult","Not Mother",1
312,1,1,"female",18,2,2,"PC 17608",262.375,"B57 B59 B63 B66","C","Miss","1&2","1-3",5,"5","PC","Letter","High","yes",4,"Known","B","BDE","age_known",18,"Adult","Adult","Not Mother",0
313,0,2,"female",26,1,1,"250651",26,"Missing","S","Mrs","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",26,"Adult","Adult","Mother",0
314,0,3,"male",28,0,0,"349243",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
315,0,2,"male",43,1,1,"F.C.C. 13529",26.25,"Missing","S","Mr","1&2","1-3",3,"2&3","FC","Letter","High","no",3,"Missing","M","Missing","age_known",43,"Adult","Adult","Not Mother",0
316,1,3,"female",26,0,0,"347470",7.8542,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",26,"Adult","Adult","Not Mother",1
317,1,2,"female",24,1,0,"244367",26,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",24,"Adult","Adult","Not Mother",0
318,0,2,"male",54,0,0,"29011",14,"Missing","S","Rare Title","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",54,"Adult","Adult","Not Mother",0
319,1,1,"female",31,0,2,"36928",164.8667,"C7","S","Miss","0","1-3",3,"2&3","Number","Number","Medium","yes",4,"Known","C","CF","age_known",31,"Adult","Adult","Not Mother",0
320,1,1,"female",40,1,1,"16966",134.5,"E34","C","Mrs","1&2","1-3",3,"2&3","Number","Number","Medium","yes",4,"Known","E","BDE","age_known",40,"Adult","Adult","Mother",0
321,0,3,"male",22,0,0,"A/5 21172",7.25,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",1,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
322,0,3,"male",27,0,0,"349219",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",27,"Adult","Adult","Not Mother",0
323,1,2,"female",30,0,0,"234818",12.35,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",30,"Adult","Adult","Not Mother",1
324,1,2,"female",22,1,1,"248738",29,"Missing","S","Mrs","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",22,"Adult","Adult","Mother",0
325,0,3,"male",NA,8,2,"CA. 2343",69.55,"Missing","S","Mr","3+","1-3",11,"8","CA","Letter","Medium","yes",4,"Missing","M","Missing","age_missing",16,"Child","Child","Not Mother",0
326,1,1,"female",36,0,0,"PC 17760",135.6333,"C32","C","Miss","0","0",1,"1&7","PC","Letter","High","yes",4,"Known","C","CF","age_known",36,"Adult","Adult","Not Mother",1
327,0,3,"male",61,0,0,"345364",6.2375,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",61,"Adult","Adult","Not Mother",0
328,1,2,"female",36,0,0,"28551",13,"D","S","Mrs","0","0",1,"1&7","Number","Number","Medium","no",2,"Known","D","BDE","age_known",36,"Adult","Adult","Not Mother",1
329,1,3,"female",31,1,1,"363291",20.525,"Missing","S","Mrs","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",31,"Adult","Adult","Mother",0
330,1,1,"female",16,0,1,"111361",57.9792,"B18","C","Miss","0","1-3",2,"2&3","Number","Number","Medium","no",4,"Known","B","BDE","age_known",16,"Child","Child","Not Mother",0
331,1,3,"female",NA,2,0,"367226",23.25,"Missing","Q","Miss","1&2","0",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",26,"Adult","Adult","Not Mother",0
332,0,1,"male",45.5,0,0,"113043",28.5,"C124","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",3,"Known","C","CF","age_known",45.5,"Adult","Adult","Not Mother",0
333,0,1,"male",38,0,1,"PC 17582",153.4625,"C91","S","Mr","0","1-3",2,"2&3","PC","Letter","High","yes",4,"Known","C","CF","age_known",38,"Adult","Adult","Not Mother",0
334,0,3,"male",16,2,0,"345764",18,"Missing","S","Mr","1&2","0",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",16,"Child","Child","Not Mother",0
335,1,1,"female",NA,1,0,"PC 17611",133.65,"Missing","S","Mrs","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Missing","M","Missing","age_missing",31,"Adult","Adult","Not Mother",0
336,0,3,"male",NA,0,0,"349225",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",35,"Adult","Adult","Not Mother",0
337,0,1,"male",29,1,0,"113776",66.6,"C2","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","yes",4,"Known","C","CF","age_known",29,"Adult","Adult","Not Mother",0
338,1,1,"female",41,0,0,"16966",134.5,"E40","C","Miss","0","0",1,"1&7","Number","Number","Medium","yes",4,"Known","E","BDE","age_known",41,"Adult","Adult","Not Mother",1
339,1,3,"male",45,0,0,"7598",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",45,"Adult","Adult","Not Mother",0
340,0,1,"male",45,0,0,"113784",35.5,"T","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Known","T","T","age_known",45,"Adult","Adult","Not Mother",0
341,1,2,"male",2,1,1,"230080",26,"F2","S","Master","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Known","F","CF","age_known",2,"Child","Child","Not Mother",0
342,1,1,"female",24,3,2,"19950",263,"C23 C25 C27","S","Miss","3+","1-3",6,"6","Number","Number","Medium","yes",4,"Known","C","CF","age_known",24,"Adult","Adult","Not Mother",0
343,0,2,"male",28,0,0,"248740",13,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
344,0,2,"male",25,0,0,"244361",13,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",25,"Adult","Adult","Not Mother",0
345,0,2,"male",36,0,0,"229236",13,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",36,"Adult","Adult","Not Mother",0
346,1,2,"female",24,0,0,"248733",13,"F33","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Known","F","CF","age_known",24,"Adult","Adult","Not Mother",1
347,1,2,"female",40,0,0,"31418",13,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",40,"Adult","Adult","Not Mother",1
348,1,3,"female",NA,1,0,"386525",16.1,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",21,"Adult","Adult","Not Mother",0
349,1,3,"male",3,1,1,"C.A. 37671",15.9,"Missing","S","Master","1&2","1-3",3,"2&3","CA","Letter","Medium","no",3,"Missing","M","Missing","age_known",3,"Child","Child","Not Mother",0
350,0,3,"male",42,0,0,"315088",8.6625,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",42,"Adult","Adult","Not Mother",0
351,0,3,"male",23,0,0,"7267",9.225,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",23,"Adult","Adult","Not Mother",0
352,0,1,"male",NA,0,0,"113510",35,"C128","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Known","C","CF","age_missing",47,"Adult","Adult","Not Mother",0
353,0,3,"male",15,1,1,"2695",7.2292,"Missing","C","Mr","1&2","1-3",3,"2&3","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",15,"Child","Child","Not Mother",0
354,0,3,"male",25,1,0,"349237",17.8,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",25,"Adult","Adult","Not Mother",0
355,0,3,"male",NA,0,0,"2647",7.225,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",0
356,0,3,"male",28,0,0,"345783",9.5,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
357,1,1,"female",22,0,1,"113505",55,"E33","S","Miss","0","1-3",2,"2&3","Number","Number","Medium","no",4,"Known","E","BDE","age_known",22,"Adult","Adult","Not Mother",0
358,0,2,"female",38,0,0,"237671",13,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",38,"Adult","Adult","Not Mother",1
359,1,3,"female",NA,0,0,"330931",7.8792,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",27,"Adult","Adult","Not Mother",1
360,1,3,"female",NA,0,0,"330980",7.8792,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",18,"Adult","Adult","Not Mother",1
361,0,3,"male",40,1,4,"347088",27.9,"Missing","S","Mr","1&2","4+",6,"6","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",40,"Adult","Adult","Not Mother",0
362,0,2,"male",29,1,0,"SC/PARIS 2167",27.7208,"Missing","C","Mr","1&2","0",2,"2&3","SC","Letter","High","no",3,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
363,0,3,"female",45,0,1,"2691",14.4542,"Missing","C","Mrs","0","1-3",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",45,"Adult","Adult","Mother",0
364,0,3,"male",35,0,0,"SOTON/O.Q. 3101310",7.05,"Missing","S","Mr","0","0",1,"1&7","SOTON","Letter","Lowest","no",1,"Missing","M","Missing","age_known",35,"Adult","Adult","Not Mother",0
365,0,3,"male",NA,1,0,"370365",15.5,"Missing","Q","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",33,"Adult","Adult","Not Mother",0
366,0,3,"male",30,0,0,"C 7076",7.25,"Missing","S","Mr","0","0",1,"1&7","C","Letter","Medium","no",1,"Missing","M","Missing","age_known",30,"Adult","Adult","Not Mother",0
367,1,1,"female",60,1,0,"110813",75.25,"D37","C","Mrs","1&2","0",2,"2&3","Number","Number","Medium","yes",4,"Known","D","BDE","age_known",60,"Adult","Adult","Not Mother",0
368,1,3,"female",NA,0,0,"2626",7.2292,"Missing","C","Mrs","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",48,"Adult","Adult","Not Mother",1
369,1,3,"female",NA,0,0,"14313",7.75,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",17,"Child","Child","Not Mother",1
370,1,1,"female",24,0,0,"PC 17477",69.3,"B35","C","Mrs","0","0",1,"1&7","PC","Letter","High","yes",4,"Known","B","BDE","age_known",24,"Adult","Adult","Not Mother",1
371,1,1,"male",25,1,0,"11765",55.4417,"E50","C","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",4,"Known","E","BDE","age_known",25,"Adult","Adult","Not Mother",0
372,0,3,"male",18,1,0,"3101267",6.4958,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",18,"Adult","Adult","Not Mother",0
373,0,3,"male",19,0,0,"323951",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",19,"Adult","Adult","Not Mother",0
374,0,1,"male",22,0,0,"PC 17760",135.6333,"Missing","C","Mr","0","0",1,"1&7","PC","Letter","High","yes",4,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
375,0,3,"female",3,3,1,"349909",21.075,"Missing","S","Miss","3+","1-3",5,"5","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",3,"Child","Child","Not Mother",0
376,1,1,"female",NA,1,0,"PC 17604",82.1708,"Missing","C","Mrs","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Missing","M","Missing","age_missing",51,"Adult","Adult","Not Mother",0
377,1,3,"female",22,0,0,"C 7077",7.25,"Missing","S","Miss","0","0",1,"1&7","C","Letter","Medium","no",1,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",1
378,0,1,"male",27,0,2,"113503",211.5,"C82","C","Mr","0","1-3",3,"2&3","Number","Number","Medium","yes",4,"Known","C","CF","age_known",27,"Adult","Adult","Not Mother",0
379,0,3,"male",20,0,0,"2648",4.0125,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",0
380,0,3,"male",19,0,0,"347069",7.775,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",19,"Adult","Adult","Not Mother",0
381,1,1,"female",42,0,0,"PC 17757",227.525,"Missing","C","Miss","0","0",1,"1&7","PC","Letter","High","yes",4,"Missing","M","Missing","age_known",42,"Adult","Adult","Not Mother",1
382,1,3,"female",1,0,2,"2653",15.7417,"Missing","C","Miss","0","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",1,"Child","Child","Not Mother",0
383,0,3,"male",32,0,0,"STON/O 2. 3101293",7.925,"Missing","S","Mr","0","0",1,"1&7","STON","Letter","Medium","no",2,"Missing","M","Missing","age_known",32,"Adult","Adult","Not Mother",0
384,1,1,"female",35,1,0,"113789",52,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",35,"Adult","Adult","Not Mother",0
385,0,3,"male",NA,0,0,"349227",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",27,"Adult","Adult","Not Mother",0
386,0,2,"male",18,0,0,"S.O.C. 14879",73.5,"Missing","S","Mr","0","0",1,"1&7","SOC","Letter","Lowest","yes",4,"Missing","M","Missing","age_known",18,"Adult","Adult","Not Mother",0
387,0,3,"male",1,5,2,"CA 2144",46.9,"Missing","S","Master","3+","1-3",8,"8","CA","Letter","Medium","no",4,"Missing","M","Missing","age_known",1,"Child","Child","Not Mother",0
388,1,2,"female",36,0,0,"27849",13,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",36,"Adult","Adult","Not Mother",1
389,0,3,"male",NA,0,0,"367655",7.7292,"Missing","Q","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",33,"Adult","Adult","Not Mother",0
390,1,2,"female",17,0,0,"SC 1748",12,"Missing","C","Miss","0","0",1,"1&7","SC","Letter","High","no",2,"Missing","M","Missing","age_known",17,"Child","Child","Not Mother",1
391,1,1,"male",36,1,2,"113760",120,"B96 B98","S","Mr","1&2","1-3",4,"4","Number","Number","Medium","yes",4,"Known","B","BDE","age_known",36,"Adult","Adult","Not Mother",0
392,1,3,"male",21,0,0,"350034",7.7958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
393,0,3,"male",28,2,0,"3101277",7.925,"Missing","S","Mr","1&2","0",3,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
394,1,1,"female",23,1,0,"35273",113.275,"D36","C","Miss","1&2","0",2,"2&3","Number","Number","Medium","yes",4,"Known","D","BDE","age_known",23,"Adult","Adult","Not Mother",0
395,1,3,"female",24,0,2,"PP 9549",16.7,"G6","S","Mrs","0","1-3",3,"2&3","PP","Letter","High","no",3,"Known","G","G","age_known",24,"Adult","Adult","Mother",0
396,0,3,"male",22,0,0,"350052",7.7958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
397,0,3,"female",31,0,0,"350407",7.8542,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",31,"Adult","Adult","Not Mother",1
398,0,2,"male",46,0,0,"28403",26,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",46,"Adult","Adult","Not Mother",0
399,0,2,"male",23,0,0,"244278",10.5,"Missing","S","Rare Title","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",23,"Adult","Adult","Not Mother",0
400,1,2,"female",28,0,0,"240929",12.65,"Missing","S","Mrs","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",1
401,1,3,"male",39,0,0,"STON/O 2. 3101289",7.925,"Missing","S","Mr","0","0",1,"1&7","STON","Letter","Medium","no",2,"Missing","M","Missing","age_known",39,"Adult","Adult","Not Mother",0
402,0,3,"male",26,0,0,"341826",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",26,"Adult","Adult","Not Mother",0
403,0,3,"female",21,1,0,"4137",9.825,"Missing","S","Miss","1&2","0",2,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
404,0,3,"male",28,1,0,"STON/O2. 3101279",15.85,"Missing","S","Mr","1&2","0",2,"2&3","STON","Letter","Medium","no",3,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
405,0,3,"female",20,0,0,"315096",8.6625,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",1
406,0,2,"male",34,1,0,"28664",21,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",34,"Adult","Adult","Not Mother",0
407,0,3,"male",51,0,0,"347064",7.75,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",51,"Adult","Adult","Not Mother",0
408,1,2,"male",3,1,1,"29106",18.75,"Missing","S","Master","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",3,"Child","Child","Not Mother",0
409,0,3,"male",21,0,0,"312992",7.775,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
410,0,3,"female",NA,3,1,"4133",25.4667,"Missing","S","Miss","3+","1-3",5,"5","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",0.75,"Child","Child","Not Mother",0
411,0,3,"male",NA,0,0,"349222",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",0
412,0,3,"male",NA,0,0,"394140",6.8583,"Missing","Q","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",33,"Adult","Adult","Not Mother",0
413,1,1,"female",33,1,0,"19928",90,"C78","Q","Miss","1&2","0",2,"2&3","Number","Number","Medium","yes",4,"Known","C","CF","age_known",33,"Adult","Adult","Not Mother",0
414,0,2,"male",NA,0,0,"239853",0,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",0,"Missing","M","Missing","age_missing",36,"Adult","Adult","Not Mother",0
415,1,3,"male",44,0,0,"STON/O 2. 3101269",7.925,"Missing","S","Mr","0","0",1,"1&7","STON","Letter","Medium","no",2,"Missing","M","Missing","age_known",44,"Adult","Adult","Not Mother",0
416,0,3,"female",NA,0,0,"343095",8.05,"Missing","S","Mrs","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_missing",63,"Adult","Adult","Not Mother",1
417,1,2,"female",34,1,1,"28220",32.5,"Missing","S","Mrs","1&2","1-3",3,"2&3","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",34,"Adult","Adult","Mother",0
418,1,2,"female",18,0,2,"250652",13,"Missing","S","Miss","0","1-3",3,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",18,"Adult","Adult","Not Mother",0
419,0,2,"male",30,0,0,"28228",13,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",30,"Adult","Adult","Not Mother",0
420,0,3,"female",10,0,2,"345773",24.15,"Missing","S","Miss","0","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",10,"Child","Child","Not Mother",0
421,0,3,"male",NA,0,0,"349254",7.8958,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",40.5,"Adult","Adult","Not Mother",0
422,0,3,"male",21,0,0,"A/5. 13032",7.7333,"Missing","Q","Mr","0","0",1,"1&7","A","Letter","Lowest","no",1,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
423,0,3,"male",29,0,0,"315082",7.875,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
424,0,3,"female",28,1,1,"347080",14.4,"Missing","S","Mrs","1&2","1-3",3,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",28,"Adult","Adult","Mother",0
425,0,3,"male",18,1,1,"370129",20.2125,"Missing","S","Mr","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",18,"Adult","Adult","Not Mother",0
426,0,3,"male",NA,0,0,"A/4. 34244",7.25,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",1,"Missing","M","Missing","age_missing",47,"Adult","Adult","Not Mother",0
427,1,2,"female",28,1,0,"2003",26,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
428,1,2,"female",19,0,0,"250655",26,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",19,"Adult","Adult","Not Mother",1
429,0,3,"male",NA,0,0,"364851",7.75,"Missing","Q","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",30,"Adult","Adult","Not Mother",0
430,1,3,"male",32,0,0,"SOTON/O.Q. 392078",8.05,"E10","S","Mr","0","0",1,"1&7","SOTON","Letter","Lowest","no",2,"Known","E","BDE","age_known",32,"Adult","Adult","Not Mother",0
431,1,1,"male",28,0,0,"110564",26.55,"C52","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",3,"Known","C","CF","age_known",28,"Adult","Adult","Not Mother",0
432,1,3,"female",NA,1,0,"376564",16.1,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",32,"Adult","Adult","Not Mother",0
433,1,2,"female",42,1,0,"SC/AH 3085",26,"Missing","S","Mrs","1&2","0",2,"2&3","SC","Letter","High","no",3,"Missing","M","Missing","age_known",42,"Adult","Adult","Not Mother",0
434,0,3,"male",17,0,0,"STON/O 2. 3101274",7.125,"Missing","S","Mr","0","0",1,"1&7","STON","Letter","Medium","no",1,"Missing","M","Missing","age_known",17,"Child","Child","Not Mother",0
435,0,1,"male",50,1,0,"13507",55.9,"E44","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",4,"Known","E","BDE","age_known",50,"Adult","Adult","Not Mother",0
436,1,1,"female",14,1,2,"113760",120,"B96 B98","S","Miss","1&2","1-3",4,"4","Number","Number","Medium","yes",4,"Known","B","BDE","age_known",14,"Child","Child","Not Mother",0
437,0,3,"female",21,2,2,"W./C. 6608",34.375,"Missing","S","Miss","1&2","1-3",5,"5","W","Letter","Low","no",4,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
438,1,2,"female",24,2,3,"29106",18.75,"Missing","S","Mrs","1&2","1-3",6,"6","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",24,"Adult","Adult","Mother",0
439,0,1,"male",64,1,4,"19950",263,"C23 C25 C27","S","Mr","1&2","4+",6,"6","Number","Number","Medium","yes",4,"Known","C","CF","age_known",64,"Adult","Adult","Not Mother",0
440,0,2,"male",31,0,0,"C.A. 18723",10.5,"Missing","S","Mr","0","0",1,"1&7","CA","Letter","Medium","no",2,"Missing","M","Missing","age_known",31,"Adult","Adult","Not Mother",0
441,1,2,"female",45,1,1,"F.C.C. 13529",26.25,"Missing","S","Mrs","1&2","1-3",3,"2&3","FC","Letter","High","no",3,"Missing","M","Missing","age_known",45,"Adult","Adult","Mother",0
442,0,3,"male",20,0,0,"345769",9.5,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",0
443,0,3,"male",25,1,0,"347076",7.775,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",25,"Adult","Adult","Not Mother",0
444,1,2,"female",28,0,0,"230434",13,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",1
445,1,3,"male",NA,0,0,"65306",8.1125,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_missing",29,"Adult","Adult","Not Mother",0
446,1,1,"male",4,0,2,"33638",81.8583,"A34","S","Master","0","1-3",3,"2&3","Number","Number","Medium","yes",4,"Known","A","A","age_known",4,"Child","Child","Not Mother",0
447,1,2,"female",13,0,1,"250644",19.5,"Missing","S","Miss","0","1-3",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",13,"Child","Child","Not Mother",0
448,1,1,"male",34,0,0,"113794",26.55,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",34,"Adult","Adult","Not Mother",0
